"","treatment","metric","value","expt","population"
"5401","1_1_1","fecundity",13,5,NA
"5413","1_1_1","fecundity",39,5,NA
"5421","1_1_1","fecundity",27,5,NA
"5431","1_1_1","fecundity",36,5,NA
"5441","1_3_1","fecundity",53,5,NA
"5451","1_3_1","fecundity",51,5,NA
"5461","1_3_1","fecundity",25,5,NA
"5471","1_3_1","fecundity",33,5,NA
"5481","1_3_1","fecundity",7,5,NA
"5491","1_3_1","fecundity",24,5,NA
"5501","1_3_1","fecundity",36,5,NA
"5513","1_3_1","fecundity",70,5,NA
"5521","1_3_1","fecundity",50,5,NA
"5531","1_3_1","fecundity",67,5,NA
"5541","1_3_1","fecundity",14,5,NA
"5551","1_3_1","fecundity",43,5,NA
"5561","1_3_1","fecundity",32,5,NA
"5571","1_3_1","fecundity",20,5,NA
"5581","1_3_1","fecundity",54,5,NA
"5591","1_3_1","fecundity",61,5,NA
"5601","1_3_1","fecundity",51,5,NA
"5613","1_3_1","fecundity",60,5,NA
"5621","1_3_1","fecundity",61,5,NA
"5631","1_3_1","fecundity",20,5,NA
"5641","1_3_1","fecundity",39,5,NA
"5651","1_3_1","fecundity",36,5,NA
"5661","1_3_1","fecundity",18,5,NA
"5671","1_3_1","fecundity",65,5,NA
"5681","1_3_1","fecundity",44,5,NA
"5691","1_3_1","fecundity",40,5,NA
"5701","1_3_1","fecundity",45,5,NA
"5713","1_3_1","fecundity",42,5,NA
"5721","1_3_1","fecundity",21,5,NA
"5731","1_3_1","fecundity",55,5,NA
"5741","1_2_1","fecundity",22,5,NA
"5751","1_2_1","fecundity",47,5,NA
"5761","1_2_1","fecundity",33,5,NA
"5771","1_2_1","fecundity",25,5,NA
"5781","1_2_1","fecundity",38,5,NA
"5791","1_2_1","fecundity",35,5,NA
"5801","1_2_1","fecundity",55,5,NA
"5813","1_2_1","fecundity",41,5,NA
"5821","1_2_1","fecundity",31,5,NA
"5831","1_2_1","fecundity",37,5,NA
"5841","1_2_1","fecundity",3,5,NA
"5851","1_2_1","fecundity",28,5,NA
"5861","1_2_1","fecundity",1,5,NA
"5871","1_2_1","fecundity",54,5,NA
"5881","1_2_1","fecundity",23,5,NA
"5891","1_2_1","fecundity",26,5,NA
"5901","1_2_1","fecundity",5,5,NA
"5913","1_2_1","fecundity",55,5,NA
"5921","1_2_1","fecundity",45,5,NA
"5931","1_2_1","fecundity",35,5,NA
"5941","1_2_1","fecundity",52,5,NA
"5951","1_2_1","fecundity",31,5,NA
"5961","1_2_1","fecundity",33,5,NA
"5971","1_2_1","fecundity",46,5,NA
"5981","1_2_1","fecundity",33,5,NA
"5991","1_2_1","fecundity",46,5,NA
"6001","1_2_1","fecundity",59,5,NA
"6013","1_2_1","fecundity",34,5,NA
"6021","1_2_1","fecundity",42,5,NA
"6031","1_2_1","fecundity",55,5,NA
