"","treatment","time","temp","expt"
"563","23",94,26.3333333333333,1
"564","25",94,26.6666666666667,1
"565","13",95,22.3333333333333,1
"566","16",95,23.3333333333333,1
"567","19",95,24.3333333333333,1
"568","21",95,25,1
"569","23",95,25.6666666666667,1
"570","25",95,26.3333333333333,1
"571","13",96,20,1
"572","16",96,21.5,1
"573","19",96,23,1
"574","21",96,24,1
"575","23",96,25,1
"576","25",96,26,1
"577","13",97,17.6666666666667,1
"578","16",97,19.6666666666667,1
"579","19",97,21.6666666666667,1
"580","21",97,23,1
"581","23",97,24.3333333333333,1
"582","25",97,25.6666666666667,1
"583","13",98,15.3333333333333,1
"584","16",98,17.8333333333333,1
"585","19",98,20.3333333333333,1
"586","21",98,22,1
"587","23",98,23.6666666666667,1
"588","25",98,25.3333333333333,1
"589","13",99,13,1
"590","16",99,16,1
"591","19",99,19,1
"592","21",99,21,1
"593","23",99,23,1
"594","25",99,25,1
"595","13",100,15.3333333333333,1
"596","16",100,17.8333333333333,1
"597","19",100,20.3333333333333,1
"598","21",100,22,1
"599","23",100,23.6666666666667,1
"600","25",100,25.3333333333333,1
"601","13",101,17.6666666666667,1
"602","16",101,19.6666666666667,1
"603","19",101,21.6666666666667,1
"604","21",101,23,1
"605","23",101,24.3333333333333,1
"606","25",101,25.6666666666667,1
"607","13",102,20,1
"608","16",102,21.5,1
"609","19",102,23,1
"610","21",102,24,1
"611","23",102,25,1
"612","25",102,26,1
"613","13",103,22.3333333333333,1
"614","16",103,23.3333333333333,1
"615","19",103,24.3333333333333,1
"616","21",103,25,1
"617","23",103,25.6666666666667,1
"618","25",103,26.3333333333333,1
"619","13",104,24.6666666666667,1
"620","16",104,25.1666666666667,1
"621","19",104,25.6666666666667,1
"622","21",104,26,1
"623","23",104,26.3333333333333,1
"624","25",104,26.6666666666667,1
"625","13",105,27,1
"626","16",105,27,1
"627","19",105,27,1
"628","21",105,27,1
"629","23",105,27,1
"630","25",105,27,1
"631","13",106,28.3333333333333,1
"632","16",106,28.3333333333333,1
"633","19",106,28.3333333333333,1
"634","21",106,28.3333333333333,1
"635","23",106,28.3333333333333,1
"636","25",106,28.3333333333333,1
"637","13",107,29.6666666666667,1
"638","16",107,29.6666666666667,1
"639","19",107,29.6666666666667,1
"640","21",107,29.6666666666667,1
"641","23",107,29.6666666666667,1
"642","25",107,29.6666666666667,1
"643","13",108,31,1
"644","16",108,31,1
"645","19",108,31,1
"646","21",108,31,1
"647","23",108,31,1
"648","25",108,31,1
"649","13",109,32.3333333333333,1
"650","16",109,32.3333333333333,1
"651","19",109,32.3333333333333,1
"652","21",109,32.3333333333333,1
"653","23",109,32.3333333333333,1
"654","25",109,32.3333333333333,1
"655","13",110,33.6666666666667,1
"656","16",110,33.6666666666667,1
"657","19",110,33.6666666666667,1
"658","21",110,33.6666666666667,1
"659","23",110,33.6666666666667,1
"660","25",110,33.6666666666667,1
"661","13",111,35,1
"662","16",111,35,1
"663","19",111,35,1
"664","21",111,35,1
"665","23",111,35,1
"666","25",111,35,1
"667","13",112,33.6666666666667,1
"668","16",112,33.6666666666667,1
"669","19",112,33.6666666666667,1
"670","21",112,33.6666666666667,1
"671","23",112,33.6666666666667,1
"672","25",112,33.6666666666667,1
"673","13",113,32.3333333333333,1
"674","16",113,32.3333333333333,1
"675","19",113,32.3333333333333,1
"676","21",113,32.3333333333333,1
"677","23",113,32.3333333333333,1
"678","25",113,32.3333333333333,1
"679","13",114,31,1
"680","16",114,31,1
"681","19",114,31,1
"682","21",114,31,1
"683","23",114,31,1
"684","25",114,31,1
"685","13",115,29.6666666666667,1
"686","16",115,29.6666666666667,1
"687","19",115,29.6666666666667,1
"688","21",115,29.6666666666667,1
"689","23",115,29.6666666666667,1
"690","25",115,29.6666666666667,1
"691","13",116,28.3333333333333,1
"692","16",116,28.3333333333333,1
"693","19",116,28.3333333333333,1
"694","21",116,28.3333333333333,1
"695","23",116,28.3333333333333,1
"696","25",116,28.3333333333333,1
"697","13",117,27,1
"698","16",117,27,1
"699","19",117,27,1
"700","21",117,27,1
"701","23",117,27,1
"702","25",117,27,1
"703","13",118,24.6666666666667,1
"704","16",118,25.1666666666667,1
"705","19",118,25.6666666666667,1
"706","21",118,26,1
"707","23",118,26.3333333333333,1
"708","25",118,26.6666666666667,1
"709","13",119,22.3333333333333,1
"710","16",119,23.3333333333333,1
"711","19",119,24.3333333333333,1
"712","21",119,25,1
"713","23",119,25.6666666666667,1
"714","25",119,26.3333333333333,1
"715","13",120,20,1
"716","16",120,21.5,1
"717","19",120,23,1
"718","21",120,24,1
"719","23",120,25,1
"720","25",120,26,1
"721","13",121,17.6666666666667,1
"722","16",121,19.6666666666667,1
"723","19",121,21.6666666666667,1
"724","21",121,23,1
"725","23",121,24.3333333333333,1
"726","25",121,25.6666666666667,1
"727","13",122,15.3333333333333,1
"728","16",122,17.8333333333333,1
"729","19",122,20.3333333333333,1
"730","21",122,22,1
"731","23",122,23.6666666666667,1
"732","25",122,25.3333333333333,1
"733","13",123,13,1
"734","16",123,16,1
"735","19",123,19,1
"736","21",123,21,1
"737","23",123,23,1
"738","25",123,25,1
"739","13",124,15.3333333333333,1
"740","16",124,17.8333333333333,1
"741","19",124,20.3333333333333,1
"742","21",124,22,1
"743","23",124,23.6666666666667,1
"744","25",124,25.3333333333333,1
"745","13",125,17.6666666666667,1
"746","16",125,19.6666666666667,1
"747","19",125,21.6666666666667,1
"748","21",125,23,1
"749","23",125,24.3333333333333,1
"750","25",125,25.6666666666667,1
"751","13",126,20,1
"752","16",126,21.5,1
"753","19",126,23,1
"754","21",126,24,1
"755","23",126,25,1
"756","25",126,26,1
"757","13",127,22.3333333333333,1
"758","16",127,23.3333333333333,1
"759","19",127,24.3333333333333,1
"760","21",127,25,1
"761","23",127,25.6666666666667,1
"762","25",127,26.3333333333333,1
"763","13",128,24.6666666666667,1
"764","16",128,25.1666666666667,1
"765","19",128,25.6666666666667,1
"766","21",128,26,1
"767","23",128,26.3333333333333,1
"768","25",128,26.6666666666667,1
"769","13",129,27,1
"770","16",129,27,1
"771","19",129,27,1
"772","21",129,27,1
"773","23",129,27,1
"774","25",129,27,1
"775","13",130,28.3333333333333,1
"776","16",130,28.3333333333333,1
"777","19",130,28.3333333333333,1
"778","21",130,28.3333333333333,1
"779","23",130,28.3333333333333,1
"780","25",130,28.3333333333333,1
"781","13",131,29.6666666666667,1
"782","16",131,29.6666666666667,1
"783","19",131,29.6666666666667,1
"784","21",131,29.6666666666667,1
"785","23",131,29.6666666666667,1
"786","25",131,29.6666666666667,1
"787","13",132,31,1
"788","16",132,31,1
"789","19",132,31,1
"790","21",132,31,1
"791","23",132,31,1
"792","25",132,31,1
"793","13",133,32.3333333333333,1
"794","16",133,32.3333333333333,1
"795","19",133,32.3333333333333,1
"796","21",133,32.3333333333333,1
"797","23",133,32.3333333333333,1
"798","25",133,32.3333333333333,1
"799","13",134,33.6666666666667,1
"800","16",134,33.6666666666667,1
"801","19",134,33.6666666666667,1
"802","21",134,33.6666666666667,1
"803","23",134,33.6666666666667,1
"804","25",134,33.6666666666667,1
"805","13",135,35,1
"806","16",135,35,1
"807","19",135,35,1
"808","21",135,35,1
"809","23",135,35,1
"810","25",135,35,1
"811","13",136,33.6666666666667,1
"812","16",136,33.6666666666667,1
"813","19",136,33.6666666666667,1
"814","21",136,33.6666666666667,1
"815","23",136,33.6666666666667,1
"816","25",136,33.6666666666667,1
"817","13",137,32.3333333333333,1
"818","16",137,32.3333333333333,1
"819","19",137,32.3333333333333,1
"820","21",137,32.3333333333333,1
"821","23",137,32.3333333333333,1
"822","25",137,32.3333333333333,1
"823","13",138,31,1
"824","16",138,31,1
"825","19",138,31,1
"826","21",138,31,1
"827","23",138,31,1
"828","25",138,31,1
"829","13",139,29.6666666666667,1
"830","16",139,29.6666666666667,1
"831","19",139,29.6666666666667,1
"832","21",139,29.6666666666667,1
"833","23",139,29.6666666666667,1
"834","25",139,29.6666666666667,1
"835","13",140,28.3333333333333,1
"836","16",140,28.3333333333333,1
"837","19",140,28.3333333333333,1
"838","21",140,28.3333333333333,1
"839","23",140,28.3333333333333,1
"840","25",140,28.3333333333333,1
"841","13",141,27,1
"842","16",141,27,1
"843","19",141,27,1
"844","21",141,27,1
"845","23",141,27,1
"846","25",141,27,1
"847","13",142,24.6666666666667,1
"848","16",142,25.1666666666667,1
"849","19",142,25.6666666666667,1
"850","21",142,26,1
"851","23",142,26.3333333333333,1
"852","25",142,26.6666666666667,1
"853","13",143,22.3333333333333,1
"854","16",143,23.3333333333333,1
"855","19",143,24.3333333333333,1
"856","21",143,25,1
"857","23",143,25.6666666666667,1
"858","25",143,26.3333333333333,1
"859","13",144,20,1
"860","16",144,21.5,1
"861","19",144,23,1
"862","21",144,24,1
"863","23",144,25,1
"864","25",144,26,1
"865","13",145,17.6666666666667,1
